,Date,Price,Open,High,Low,Change %,Target
148,"Apr 04, 2019",1.1221,1.1233,1.1249,1.1205,-0.12,0
149,"Apr 03, 2019",1.1235,1.1204,1.1256,1.12,0.28,1
150,"Apr 02, 2019",1.1204,1.1217,1.122,1.1183,-0.08,0
151,"Apr 01, 2019",1.1213,1.1217,1.125,1.1202,-0.04,0
152,"Mar 29, 2019",1.1218,1.122,1.1248,1.1208,-0.04,0
153,"Mar 28, 2019",1.1222,1.1244,1.1264,1.1214,-0.22,0
154,"Mar 27, 2019",1.1247,1.1266,1.1286,1.124,-0.17,0
155,"Mar 26, 2019",1.1266,1.1313,1.1329,1.1263,-0.42,0
156,"Mar 25, 2019",1.1313,1.1294,1.1334,1.1284,-0.01,0
157,"Mar 22, 2019",1.1314,1.1376,1.1393,1.1272,-0.54,0
158,"Mar 21, 2019",1.1375,1.1413,1.144,1.1342,-0.34,0
159,"Mar 20, 2019",1.1414,1.1352,1.145,1.1336,0.55,1
160,"Mar 19, 2019",1.1352,1.1338,1.1364,1.1334,0.13,1
161,"Mar 18, 2019",1.1337,1.1322,1.136,1.1316,0.11,1
162,"Mar 15, 2019",1.1325,1.1304,1.1345,1.1295,0.19,1
163,"Mar 14, 2019",1.1304,1.133,1.1343,1.1294,-0.2,0
164,"Mar 13, 2019",1.1327,1.1288,1.1341,1.1277,0.35,1
165,"Mar 12, 2019",1.1288,1.1249,1.1309,1.1244,0.35,1
166,"Mar 11, 2019",1.1249,1.124,1.126,1.1222,0.08,1
167,"Mar 08, 2019",1.124,1.1194,1.1248,1.1185,0.41,1
168,"Mar 07, 2019",1.1194,1.1306,1.1322,1.1176,-1.0,0
169,"Mar 06, 2019",1.1307,1.1313,1.1328,1.1286,-0.01,0
170,"Mar 05, 2019",1.1308,1.1339,1.1353,1.129,-0.28,0
171,"Mar 04, 2019",1.134,1.138,1.1398,1.1309,-0.33,0
172,"Mar 01, 2019",1.1377,1.1372,1.141,1.1353,0.05,1
173,"Feb 28, 2019",1.1371,1.1371,1.1421,1.1357,0.02,1
174,"Feb 27, 2019",1.1369,1.1396,1.1404,1.136,-0.16,0
175,"Feb 26, 2019",1.1387,1.1366,1.1404,1.1343,0.25,1
176,"Feb 25, 2019",1.1359,1.1338,1.1369,1.1323,0.14,1
177,"Feb 22, 2019",1.1343,1.1337,1.136,1.1315,0.06,1
178,"Feb 21, 2019",1.1336,1.1338,1.1368,1.132,-0.01,0
179,"Feb 20, 2019",1.1337,1.1342,1.1374,1.1324,-0.04,0
180,"Feb 19, 2019",1.1341,1.131,1.1358,1.1274,0.27,1
181,"Feb 18, 2019",1.1311,1.1288,1.1337,1.1284,0.14,1
182,"Feb 15, 2019",1.1295,1.1295,1.1313,1.1233,-0.05,0
183,"Feb 14, 2019",1.1301,1.1262,1.1313,1.1247,0.3,1
184,"Feb 13, 2019",1.1267,1.1326,1.1346,1.126,-0.51,0
185,"Feb 12, 2019",1.1325,1.128,1.1342,1.1256,0.43,1
186,"Feb 11, 2019",1.1276,1.1328,1.1331,1.1264,-0.48,0
187,"Feb 08, 2019",1.133,1.1346,1.1355,1.132,-0.1,0
188,"Feb 07, 2019",1.1341,1.136,1.1375,1.1322,-0.18,0
189,"Feb 06, 2019",1.1362,1.1406,1.142,1.1359,-0.46,0
190,"Feb 05, 2019",1.1415,1.1442,1.1456,1.14,-0.2,0
191,"Feb 04, 2019",1.1438,1.1457,1.1467,1.1421,-0.16,0
192,"Feb 01, 2019",1.1456,1.1447,1.149,1.1433,0.09,1
193,"Jan 31, 2019",1.1446,1.148,1.1517,1.1434,-0.29,0
194,"Jan 30, 2019",1.1479,1.1433,1.1503,1.1404,0.41,1
195,"Jan 29, 2019",1.1432,1.1428,1.1453,1.141,-0.02,0
196,"Jan 28, 2019",1.1434,1.1404,1.1445,1.1388,0.17,1
197,"Jan 25, 2019",1.1415,1.1306,1.1421,1.1298,0.96,1
198,"Jan 24, 2019",1.1306,1.138,1.1398,1.1287,-0.66,0
199,"Jan 23, 2019",1.1381,1.1358,1.1397,1.1348,0.19,1
200,"Jan 22, 2019",1.1359,1.1365,1.1386,1.1334,-0.06,0
201,"Jan 21, 2019",1.1366,1.1371,1.1409,1.1355,0.03,1
202,"Jan 18, 2019",1.1363,1.1389,1.1413,1.1352,-0.31,0
203,"Jan 17, 2019",1.1398,1.1396,1.141,1.1369,-0.02,0
